NAZEV;Pb;Zn
benesov;2,701361213;3,284663565
benesov;2,468099531;3,288401888
benesov;2,797281335;3,288401888
benesov;2,923161581;3,289893312
benesov;2,054123734;3,292126287
benesov;2,970414466;3,292497965
benesov;2,549445171;3,295836866
benesov;2,332143895;3,295836866
benesov;2,57261223;3,299533728
benesov;2,660259537;3,299533728
benesov;2,653241965;3,299533728
benesov;2,809402695;3,303216973
benesov;2,4765384;3,303216973
benesov;2,879198457;3,303216973
benesov;3,265759411;3,305053521
benesov;2,740840024;3,306886702
benesov;2,708050201;3,310543013
benesov;2,610069793;3,310543013
benesov;3,280911216;3,317815773
benesov;2,388762789;3,317815773
benesov;2,63905733;3,317815773
benesov;2,694627181;3,321432413
benesov;2,87356464;3,321432413
benesov;3,100092289;3,328626689
benesov;2,351375257;3,328626689
benesov;2,721295428;3,328626689
benesov;2,104134154;3,328626689
benesov;2,63188884;3,342861805
benesov;2,57261223;3,343215099
benesov;2,753660712;3,346389145
benesov;2,48490665;3,349904087
benesov;3,306886702;3,353406718
benesov;2,116255515;3,353406718
benesov;2,63905733;3,360375387
benesov;2,850706502;3,360375387
benesov;2,63905733;3,36729583
benesov;2,174751721;3,36729583
benesov;2,850706502;3,367985247
benesov;2,90690106;3,372797907
benesov;2,721295428;3,374168709
benesov;2,701361213;3,377587516
benesov;3,730501129;3,378610883
benesov;2,501435952;3,380994674
benesov;2,63188884;3,380994674
benesov;2,884800713;3,384390263
benesov;2,995732274;3,387774361
benesov;2,104134154;3,387774361
benesov;2,468099531;3,387774361
benesov;2,862200881;3,387774361
benesov;3,186352633;3,394172767
benesov;2,493205453;3,394508394
benesov;2,525728644;3,394508394
benesov;2,397895273;3,39785848
benesov;3,091042453;3,401530659
benesov;2,694627181;3,407841924
benesov;3,186352633;3,411147713
benesov;3,000719815;3,413455279
benesov;2,687847494;3,417726684
